"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fredriksson A.; Fulcher I.R.; Russell A.L.; Li T.; Tsai Y.-T.; Seif S.S.; Mpembeni R.N.; Hedt-Gauthier B.","Fredriksson, Alma (57883383300); Fulcher, Isabel R. (57194452257); Russell, Allyson L. (57564360100); Li, Tracey (57885129000); Tsai, Yi-Ting (57883383400); Seif, Samira S. (57222304142); Mpembeni, Rose N. (6507757873); Hedt-Gauthier, Bethany (55224016000)","57883383300; 57194452257; 57564360100; 57885129000; 57883383400; 57222304142; 6507757873; 55224016000","Machine learning for maternal health: Predicting delivery location in a community health worker program in Zanzibar","2022","Frontiers in Digital Health","4","","855236","","","21","10.3389/fdgth.2022.855236","https://www.scopus.com/pages/publications/85137655391?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137655391"
"Ramakrishnan R.; Rao S.; He J.-R.","Ramakrishnan, Rema (55155865700); Rao, Shishir (57216591893); He, Jian-Rong (37118683700)","55155865700; 57216591893; 37118683700","Perinatal health predictors using artificial intelligence: A review","2021","Women's Health","17","","","","","88","10.1177/17455065211046132","https://www.scopus.com/pages/publications/85114909775?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85114909775"
"Calcaterra V.; Pagani V.; Zuccotti G.","Calcaterra, Valeria (6701454738); Pagani, Valter (58098553000); Zuccotti, Gianvincenzo (7005167155)","6701454738; 58098553000; 7005167155","Maternal and fetal health in the digital twin era","2023","Frontiers in Pediatrics","11","","1251427","","","14","10.3389/fped.2023.1251427","https://www.scopus.com/pages/publications/85174910153?origin=resultslist","Note","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174910153"
"Zhou M.; Deng L.; Huang Y.; Xiao Y.; Wen J.; Liu N.; Zeng Y.; Zhang H.","Zhou, Muping (57211412127); Deng, Liyuan (57736477700); Huang, Yan (57735648200); Xiao, Ying (57735815800); Wen, Jun (57736145500); Liu, Na (57736313300); Zeng, Yingchao (57735815900); Zhang, Hua (57735977300)","57211412127; 57736477700; 57735648200; 57735815800; 57736145500; 57736313300; 57735815900; 57735977300","Application of the Artificial Intelligence Algorithm Model for Screening of Inborn Errors of Metabolism","2022","Frontiers in Pediatrics","10","","855943","","","16","10.3389/fped.2022.855943","https://www.scopus.com/pages/publications/85131717015?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131717015"
"Huang V.S.; Morris K.; Jain M.; Ramesh B.M.; Kemp H.; Blanchard J.; Isac S.; Sarkar B.; Gothalwal V.; Namasivayam V.; Kumar P.; Sgaier S.K.","Huang, Vincent S (57219564222); Morris, Kasey (57219566685); Jain, Mokshada (57214732502); Ramesh, Banadakoppa Manjappa (8719988400); Kemp, Hannah (57218796682); Blanchard, James (35309208900); Isac, Shajy (26023279500); Sarkar, Bidyut (59788352500); Gothalwal, Vikas (57210796035); Namasivayam, Vasanthakumar (57216701765); Kumar, Pankaj (57224402929); Sgaier, Sema K (6507206017)","57219564222; 57219566685; 57214732502; 8719988400; 57218796682; 35309208900; 26023279500; 59788352500; 57210796035; 57216701765; 57224402929; 6507206017","Closing the gap on institutional delivery in northern India: A case study of how integrated machine learning approaches can enable precision public health","2020","BMJ Global Health","5","10","e002340","","","5","10.1136/bmjgh-2020-002340","https://www.scopus.com/pages/publications/85093922449?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85093922449"
"Li L.; Foy A.J.; Christensen J.T.; Lanik A.; Wang J.; Hamill N.; Delaney J.W.; Kumar S.R.","Li, Ling (60153065700); Foy, Alex J. (57214593825); Christensen, Jason T. (56079809800); Lanik, Aaron (60153361900); Wang, Jieqiong (57644766100); Hamill, Neil (24343279100); Delaney, Jeffrey W. (13611317900); Kumar, S. Ram (57211648110)","60153065700; 57214593825; 56079809800; 60153361900; 57644766100; 24343279100; 13611317900; 57211648110","Artificial intelligence-driven framework for improving prenatal screening for congenital heart disease in rural Nebraska","2025","Frontiers in Pediatrics","13","","1653305","","","0","10.3389/fped.2025.1653305","https://www.scopus.com/pages/publications/105019558968?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105019558968"
"Gao J.; Jie X.; Yao Y.; Xue J.; Chen L.; Chen R.; Chen J.; Cheng W.","Gao, Jing (59368310200); Jie, Xu (57800543800); Yao, Yujun (58040613800); Xue, Jingdong (57077570800); Chen, Lei (57216316185); Chen, Ruiyao (57814678600); Chen, Jiayuan (57815250900); Cheng, Weiwei (32867577300)","59368310200; 57800543800; 58040613800; 57077570800; 57216316185; 57814678600; 57815250900; 32867577300","Fetal Birth Weight Prediction in the Third Trimester: Retrospective Cohort Study and Development of an Ensemble Model","2025","JMIR Pediatrics and Parenting","8","","e59377","","","1","10.2196/59377","https://www.scopus.com/pages/publications/105000740891?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000740891"
"Chen Z.; Zeng Y.; Luo L.; Li J.; Zheng L.; Xie Y.; Xiao J.; Zhang L.; Zhang Q.; Sun Y.; Sun X.; Sui L.; Tao X.; Cong Q.","Chen, Ziren (58352709200); Zeng, Yihui (59752687600); Luo, Lingxiao (57214099739); Li, Juan (55887699100); Zheng, Liangkai (59958593300); Xie, Yan (59957731800); Xiao, Jingjing (56809963400); Zhang, Lu (57354363500); Zhang, Qi (59958176000); Sun, Yixin (59957307700); Sun, Xiaoyi (58493973900); Sui, Long (16445241400); Tao, Xiang (57200900484); Cong, Qing (53881131800)","58352709200; 59752687600; 57214099739; 55887699100; 59958593300; 59957731800; 56809963400; 57354363500; 59958176000; 59957307700; 58493973900; 16445241400; 57200900484; 53881131800","Multi-center–validated machine learning model for cervical cancer based on human papillomavirus genotyping results","2026","International Journal of Gynecological Cancer","36","6","102855","","","1","10.1016/j.ijgc.2025.102855","https://www.scopus.com/pages/publications/105037967215?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105037967215"
"Teji J.S.; Jain S.; Gupta S.K.; Suri J.S.","Teji, Jagjit S. (59910650700); Jain, Suneet (57703378200); Gupta, Suneet K. (57213337943); Suri, Jasjit S. (7005613223)","59910650700; 57703378200; 57213337943; 7005613223","NeoAI 1.0: Machine learning-based paradigm for prediction of neonatal and infant risk of death","2022","Computers in Biology and Medicine","147","","105639","","","32","10.1016/j.compbiomed.2022.105639","https://www.scopus.com/pages/publications/85131080891?origin=resultslist","Article","Final","","Scopus","2-s2.0-85131080891"
"Victor A.","Victor, Audêncio (57721397700)","57721397700","The role of artificial intelligence in maternal and child health: Progress, controversies, and future directions","2025","PLOS Digital Health","4","7 July","e0000938","","","9","10.1371/journal.pdig.0000938","https://www.scopus.com/pages/publications/105011370928?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011370928"
